id,Top_rated,name_movie,Year,Genres,Director,Writers,producers,Top_actors
25,25,Life Is Beautiful,1997,"Comedy, Drama, Romance",Roberto Benigni,"Vincenzo Cerami, Roberto Benigni","Gianluigi Braschi, Elda Ferri","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Marisa Paredes, Giustino Durano, Horst Buchholz, Sergio Bini Bustric"
26,26,Interstellar,2014,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Emma Thomas, Christopher Nolan, Lynda Obst","Matthew McConaughey, Anne Hathaway, David Gyasi, Jessica Chastain, Mackenzie Foy, Matt Damon, Michael Caine, John Lithgow, Casey Affleck, Timothée Chalamet, Wes Bentley, Ellen Burstyn, Topher Grace, David Oyelowo, Collette Wolfe, Leah Cairns, Elyes Gabel"
27,27,The Green Mile,1999,"Crime, Drama, Fantasy",Frank Dabaront,"Frank Darabont, Stephen King","Frank Darabont, David Valdes","Tom Hanks, Michael Clarke Duncan, David Morse, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Michael Jeter, Bonnie Hunt, James Cromwell, Gary Sinise, Patricia Clarkson, Graham Greene, Harry Dean Stanton, William Sadler, Paula Malcomson, Dabbs Greer, Brian Libby, Bailey Drucker"
28,28,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",George lucas,George Lucas,Gary Kurtz,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing, David Prowse, Peter Mayhew, Anthony Daniels, Kenny Baker, Phil Brown, Shelagh Fraser, Garrick Hagon, Denis Lawson, Alex McCrindle, Richard LeParmentier, Drewe Henley, Jack Purvis, Don Henderson, William Hootkins, Malcolm Tierney"
29,29,Terminator 2: Judgment Day,1991,"Action, Sci-Fi",James Cameron,"James Cameron, William Wisher",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton, S. Epatha Merkerson, Danny Cooksey, Cástulo Guerra, Jenette Goldstein, Xander Berkeley, Michael Edwards, Dean Norris"
30,30,Back to the Future,1985,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis, Bob Gale","Bob Gale, Neil Canton","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Claudia Wells, Thomas F. Wilson, James Tolkan, Billy Zane, Sachi Parker, Marc McClure, George DiCenzo, Frances Lee McCain, Wendie Jo Sperber, Casey Siemaszko, J.J. Cohen, Donald Fullilove, Harry Waters Jr., Elsa Raven, Lisa Freeman, Will Hare, Ivy Bethune"
31,31,Spirited Away,2001,"Adventure, Animation, Family",Hayao Miyazaki,Hayao Miyazaki,Toshio Suzuki,(Animation)
32,32,Psycho,1960,"Horror, Mystery, Thriller",Alfred Hitchcock,"Joseph Stefano, Robert Bloch",Alfred Hitchcock,"Anthony Perkins, Janet Leigh, John Gavin, Vera Miles, John McIntire, Martin Balsam, Simon Oakland, Patricia Hitchcock"
33,33,The Pianist,2002,"Biography, Drama, Music",Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman","Roman Polanski, Robert Benmussa, Alain Sarde","Adrien Brody, Thomas Kretschmann, Maureen Lipman, Ed Stoppard, Emilia Fox, Frank Finlay, Julia Rayner, Jessica Kate Meyer. Cameo: Morgane Polanski"
34,34,Parasite,2019,"Drama, Thriller",Bong Joon Ho,"Bong Joon Ho, Han Jin-won","Kwak Sin-ae, Moon Yang-kwon, Bong Joon-ho, Jang Young-hwan","Song Kang-ho, Lee Seon-gyun, Jang Hye-jin, Cho Yeo-jeong, Choi Woo-sik, Park So-dam, Park Seo-joon, Lee Jeong-eun, Park Keun-rok, Hyun Seung-Min, Andreas Fronk, Park Myeong-hoon, Jung Hyun-jun, Ji-hye Lee, Joo-hyung Lee, Jung Yi-seo, Ik-han Jung, Seong-Bong Ahn, Dong-yong Lee, Hyo-shin Pak"
